page_title	selected	notes
Grižane-Belgrad	Grizane-Belgrad.jpg	image was in the Wikidata item
Beaufort_County	Prince_William's_Parish_Church_(Ruins),_Sheldon_vicinity_(Beaufort_County,_South_Carolina).jpg	image was found in the same article for the following wikis: rowiki
2017–18_UEFA_Europa_League_knockout_phase	2017-18_UEL_-_Round_of_16_-_Lokomotiv_Moscow_vs._Atletico_Madrid_-_ATM_2nd_goal_celebration.jpg	image was found in the same article for the following wikis: itwiki
1950_in_radio	Bing_Crosby_Perry_Como_Arthur_Godfrey_1950.JPG	image was found in the Commons category linked in the Wikidata item
Shunji_Kasuya	Nissan_300ZX_Turbo_-_Eric_van_de_Poele,_Paul_Gentilozzi_&_Syunji_Kasuya_at_the_1994_Le_Mans_(31596608830).jpg	image was found in the same article for the following wikis: dewiki
Labial_scale	Viperaberus1 slit pupil.jpg	image was in the Wikidata item
Przemysław_II,_Duke_of_Cieszyn	HERZOG PRIMISLAUS von GLOGAU.jpg	image was in the Wikidata item
Eucoenogenes	Fibuloides aestuosa.JPG	image was in the Wikidata item
Selva_Casal	SELVA CASAL.jpg	image was in the Wikidata item
Estadio_San_Cristóbal	Estadio San Cristobal.jpg	image was in the Wikidata item
Mont_Lozère_et_Goulet	Mairie du Bleymard.jpg	image was in the Wikidata item
Savas_Matsas	Savas Matsas-EEK.jpg	image was in the Wikidata item
Aleksandar_Jevtić	Aleksandar_Jevtic_2017.jpg	image was found in the same article for the following wikis: dewiki
Akihisa_Shiono	Akihisa Shino 201904a.jpg	image was in the Wikidata item
Michel_Zumkeller	2013-09-17 21-17-14-meeting-nouveau-souffle-pour-belfort.jpg	image was in the Wikidata item
Theobald_Taaffe,_1st_Earl_of_Carlingford	Taaffe's_Castle_Carlingford.jpg	image was found in the same article for the following wikis: gawiki
Ypsotingini	2018_06_07_Dictyonota_strichnocera1B.jpg	image was found in the same article for the following wikis: frwiki
Verzar	Reliefkarte_Serbien.png	image was found in the same article for the following wikis: bgwiki
Paweł_Owerłło	Tajemnica_lekarza_-_Film_nr_55-56_-_1948-12-23.JPG	image was found in the same article for the following wikis: plwiki
1614_in_science	Opiologia,_ou_Traicté_concernant_le_naturel,_propriétés,_vraye_préparation_et_seûr_usage_de_l'opium_,_pour_le_soulagement_de_maints_malades_qui_sont_travaillés_d'extrêmes_douleurs_internes..._Par_Angelus_Sala,.jpg	image was found in the Commons category linked in the Wikidata item
Kyptoceras	Kryptoceras_range.png	image was found in the Commons category linked in the Wikidata item
Neodrassex	Missing_Arachnida.png	image was found in the same article for the following wikis: itwiki
German_submarine_U-756	SRH009-p58.jpg	image was found in the same article for the following wikis: ptwiki
Nina_Vaskunlahti	Nina_Vaskunlahti_2020.jpg	image was found in the same article for the following wikis: fiwiki
Saint_Ténénan	Guerlesquin_31_Eglise_Saint-Ténénan_La_maîtresse-vitre_(épisode_de_la_vie_de_saint_Ténénan).jpg	image was found in the Commons category linked in the Wikidata item
2016_Red_Bull_Air_Race_World_Championship	2016_Red_Bull_Air_Race_of_Indianapolis,_Indianapolis_Motor_Speedway,_Indianapolis.jpg	image was found in the Commons category linked in the Wikidata item
Richard_Ripley	Richard Ripley 1924.jpg	image was in the Wikidata item
Estadio_Farid_Richa	Farid Richa.jpg	image was in the Wikidata item
The_O'Jays_discography	The_O_Jays_on_Soul_Train.JPG	image was found in the same article for the following wikis: dewiki
Ricardo_Márquez_Flores	MINISTERIO DE DEFENSA Y SOCIEDAD NACIONAL DE INDUSTRIAS FIRMARON CONVENIO A FAVOR DE POBLACIONES VULNERABLES.jpg	image was in the Wikidata item
State_Post_Bureau	中华人民共和国交通.png	image was found in the same article for the following wikis: zhwiki
The_Fighting_Skipper	Peggy_O'Day_Who's_Who_on_the_Screen.jpg	image was found in the same article for the following wikis: ptwiki
Rete_Sicula	Ferrovie_sicilia_1900.JPG	image was found in the Commons category linked in the Wikidata item
Biathlon_at_the_2018_Winter_Olympics	2018_PyeongChang_Biathlon_Mass_Start_medalists.jpg	image was found in the Commons category linked in the Wikidata item
Roman_Catholic_Diocese_of_Santa_María_de_Los_Ángeles	Catedral_y_Edificio_del_Obispado_de_Santa_María_de_Los_Ángeles.jpg	image was found in the same article for the following wikis: frwiki,eswiki,itwiki
Gianandrea_Gavazzeni	Gavazzeni.jpg	image was in the Wikidata item
Holmedal	Norske_landsdeler_H.png	image was found in the same article for the following wikis: mswiki
1775_in_France	Fort_Royal_en_1775.jpg	image was found in the Commons category linked in the Wikidata item
Second_International_Congress_on_Education_of_the_Deaf	Milan_Congress.png	image was found in the same article for the following wikis: hewiki
Tārakāsura	The_god_Subrahmanya,_the_god_of_war..jpg	image was found in the same article for the following wikis: nlwiki
423_BC	Socrates_in_a_basket.jpg	image was found in the same article for the following wikis: shwiki,dewiki
October_2	2009_October_2nd_Open_World_Forum_Paris_Ubuntu_Team.JPG	image was found in the Commons category linked in the Wikidata item
Bajep_Sårjåsjávrre	Bajep_Sårjåsjávrre.jpg	image was found in the same article for the following wikis: arzwiki
2015_Wimbledon_Championships_–_Men's_Doubles	Rojer_RG15_(7)_(19119144160).jpg	image was found in the same article for the following wikis: hywiki
Angostura_(plant)	Flora medica, oder, Abbildung der wichtigsten officinellen Pflanzen (Pl. 154) (6032564326).jpg	image was in the Wikidata item
Didier_Henriette	Cofidis_Team_Sprint.jpg	image was found in the Commons category linked in the Wikidata item
Đức_Ninh_Đông	LocationVietnamQuangBinh.png	image was found in the same article for the following wikis: pamwiki
August_von_Gödrich	Radrennen_OS_1896.jpg	image was found in the same article for the following wikis: arzwiki,plwiki,elwiki,ruwiki,itwiki,dawiki,srwiki,kowiki,nowiki,cswiki,frwiki,dewiki,cawiki,ptwiki,huwiki,nlwiki
Ministry_of_Agriculture,_Fisheries_and_Food_(Quebec)	200,_chemin_Sainte-Foy.jpg	image was found in the same article for the following wikis: frwiki
1966_European_Athletics_Championships_–_Women's_4_×_100_metres_relay	Budapest_XIV.,_Népstadion._A_megnyitás_napján,_1953._augusztus_20-án._Fortepan_14145.jpg	image was found in the same article for the following wikis: dewiki
Lisa_Nakazono-Węgłowska	Lisa Nakazono - Japan - polish festival - Oct 15 2017.jpg	image was in the Wikidata item
La_Rue_Kétanou	La rue ketanou3-21032009.jpg	image was in the Wikidata item
Nabal_(Handel)	Zoffany-John-Christopher-Smith.jpg	image was found in the same article for the following wikis: cawiki
ICarly_(season_3)	ICarly mains.jpg	image was in the Wikidata item
Miguel_Ángel_Cuello	Cuello Campeón Mundial - El Gráfico 3007.jpg	image was in the Wikidata item
List_of_Polish_records_in_athletics	Anita_Włodarczyk_Berlin_2009.JPG	image was found in the same article for the following wikis: plwiki,nlwiki
Adalgisa_Nery	Adalgisa Nery.JPG	image was in the Wikidata item
Palca_District,_Huancavelica	Panorámica de Huancavelica.jpg	image was in the Wikidata item
Modelbane_Europa	Modelbane Europa.jpg	image was in the Wikidata item
Igor_Rataj	Igor Rataj.jpg	image was in the Wikidata item
Visoka_(Kuršumlija)	Reliefkarte_Serbien.png	image was found in the same article for the following wikis: bgwiki
2014_NBA_playoffs	Kevin_Durant_dunk.jpg	image was found in the same article for the following wikis: fawiki
Alverton	Ploughed_field_in_South_Nottinghamshire_-_geograph.org.uk_-_1013208.jpg	image was found in the Commons category linked in the Wikidata item
Fagerhult,_Uddevalla_Municipality	Laneaffären (sommar).jpg	image was in the Wikidata item
Pietro_Bardellino	Pietro_bardellino,_pastori_intenti_alla_preparazione_della_ricotta.jpg	image was found in the same article for the following wikis: itwiki
Nes,_Vestland	Norske_landsdeler_H.png	image was found in the same article for the following wikis: mswiki
List_of_Armenian_actors	Davit_Gharibyan_IMDb.jpg	image was found in the Commons category linked in the Wikidata item
Palais_des_Sports_de_Marseille	Palais_des_sport_marseille.jpg	image was found in the Commons category linked in the Wikidata item
Lucia_(name)	Popularity_of_name_Lucia.svg	image was found in the Commons category linked in the Wikidata item
List_of_Egyptian_submissions_for_the_Academy_Award_for_Best_International_Feature_Film	Yousef_Shaheen_1982.jpg	image was found in the same article for the following wikis: ruwiki
Remla	Ramla-Tunis 2.jpg	image was in the Wikidata item
Best_European_Goalkeeper	Russia-Brazil_23_March_2018_(cropped).jpg	image was found in the same article for the following wikis: eswiki
Redcliffe	Simbabwe_karte.png	image was found in the same article for the following wikis: barwiki
Jurgen_Belpaire	Jurgen_Belpaire.jpg	image was found in the same article for the following wikis: nlwiki
Aldonza_Alfonso_de_León	Reino_de_León.png	image was found in the same article for the following wikis: cawiki
Albert_Séguin	Albert Seguin aux JO de 1924.jpg	image was in the Wikidata item
Mohammedia_(disambiguation)	Pont-aqueduc_romain_au_sud_de_Mohamédia.jpg	image was found in the same article for the following wikis: shwiki
Uvariastrum	Naturalis Biodiversity Center - L.1768617 - Uvariastrum zenkeri Engl. and Diels - Annonaceae - Plant type specimen.jpeg	image was in the Wikidata item
Rafael_Lopez_Guzman	Rafael López Guzmán 2015 (cropped).jpg	image was in the Wikidata item
Mintom	Mintom_SU0206.png	image was found in the same article for the following wikis: frwiki
Komoshtitsa	Bulgaria_Aministrative_Provinces_numbered.png	image was found in the same article for the following wikis: mswiki
Aarne_Reini	Aarne-Reini-1943.jpg	image was found in the same article for the following wikis: dewiki,nowiki,frwiki,fiwiki
Chao_District	Location_of_the_province_Virú_in_La_Libertad.PNG	image was found in the same article for the following wikis: aywiki,eswiki,dewiki,quwiki
Syrna_(island)	Lagekarte-Syrna.png	image was in the Wikidata item
Domingo_Ugartechea	Domingo_de_Ugartechea.jpeg	image was found in the same article for the following wikis: ptwiki,dewiki,arwiki,itwiki
Qingyunpu_railway_station	Nanchangnan Railway Station 20150822 125547.jpg	image was in the Wikidata item
Evergreen_forest	Pine_tree_forest02.jpg	image was found in the same article for the following wikis: trwiki,viwiki,eowiki
Waitangitaona_River	Waitangitaona_River.jpg	image was found in the same article for the following wikis: dewiki
Actinia_striata	Actinia striata.jpg	image was in the Wikidata item
2009_Speedway_Grand_Prix	BritishGPspeedway2009.JPG	image was in the Wikidata item
Solbiate_Arno	Map_of_comune_of_Solbiate_Arno_(province_of_Varese,_region_Lombardy,_Italy).svg	image was found in the Commons category linked in the Wikidata item
Cold_sensitivity	A_thermal_image_demonstrating_the_loss_of_heat_in_a_Reynaud's_sufferer.jpg	image was found in the same article for the following wikis: jawiki
Aston-By-Stone	Canal_Milepost_near_Aston_Lock.jpg	image was found in the Commons category linked in the Wikidata item
1953_in_film	Chiezo_Kataoka_Studio_Still_from_Kyokubadan_no_Mao_Bannai_Tarao_1953_Scan10001.jpg	image was found in the Commons category linked in the Wikidata item
Şiyəkəran	Azerbaijan,_administrative_divisions.png	image was found in the same article for the following wikis: azwiki,kawiki
Hidetoshi_Nagasawa	Tindari,ティンダリ2007.jpg	image was found in the same article for the following wikis: jawiki,dewiki
Tsarskoselsky_Uyezd	Царскосельский_уезд.png	image was found in the same article for the following wikis: fiwiki
Vale_(Santa_Maria_da_Feira)	Aveiro_388.PNG	image was found in the same article for the following wikis: ptwiki
Santiago_de_Pischa_District	Peru_-_Altiplano2.jpg	image was found in the same article for the following wikis: quwiki
Nicolas_Desmarets	Nicolas Desmaretz 1678 Randon Claude.jpg	image was in the Wikidata item
Ukraine_at_the_Paralympics	Flag_of_Ukraine_(2008_Summer_Olympics).svg	image was found in the Commons category linked in the Wikidata item
Honda_Vision	Honda_Vision_110-002.JPG	image was found in the Commons category linked in the Wikidata item
Histamine_receptor	3RZE-human_histamine_H1_receptor-pdb.jpg	image was found in the same article for the following wikis: tawiki
Cantatorium	Cod_Sang_359_Alleluia.png	image was found in the same article for the following wikis: nlwiki,frwiki
Progressive_Architecture_Award	Hamsunsenteret.jpg	image was found in the same article for the following wikis: nowiki
Lautém_(city)	Lautém klein2.jpg	image was in the Wikidata item
2015_World_Grand_Prix	Snooker_balls_triangled.png	image was found in the same article for the following wikis: plwiki
Pallas_(daughter_of_Triton)	Atena_giustiniani,_copia_romana_da_originale_greco.JPG	image was found in the same article for the following wikis: ruwiki,bewiki
Chatham_Island_(Andaman_and_Nicobar_Islands)	Snake_island-4-port_blair-andaman-India.jpg	image was found in the Commons category linked in the Wikidata item
Eberhard_of_Franconia	Franconia_919-1125.jpg	image was found in the same article for the following wikis: ptwiki
Mortenhals	Norske_landsdeler_H.png	image was found in the same article for the following wikis: mswiki
Fūma_Kotarō	Emperor_Showa.jpg	image was found in the same article for the following wikis: idwiki
Michael_(son_of_Anastasios_the_logothete)	Stari_bar_town_walls.jpg	image was found in the same article for the following wikis: srwiki
Oxchuc	OxchucMarket.jpg	image was found in the Commons category linked in the Wikidata item
Battle_of_Sarmin	Baudouin du Bourg.jpg	image was in the Wikidata item
Kashkarantsy	Панорама_Кашкаранцев.jpg	image was found in the Commons category linked in the Wikidata item
Svyatsy	Деревня Святцы (1).jpg	image was in the Wikidata item
Duke_of_Hernani	Her_Royal_Highness_the_Duchess_of_Soria_cropped.jpg	image was found in the same article for the following wikis: ptwiki
Torestorp	Torestorps ka.JPG	image was in the Wikidata item
Sujata_Mehta	M._Hamid_Ansari_and_the_Prime_Minister_of_Hungary,_Mr._Viktor_Orban_witnessing_the_exchange_of_MoU_by_the_Secretary_(West),_Ministry_of_External_Affairs,_Ms._Sujata_Mehta_and_the_Deputy_Minister_of_Foreign_Affairs_and_Trade.jpg	image was found in the same article for the following wikis: hiwiki
Ukraine_Fed_Cup_team	UkraineFedCupTeam2012.jpg	image was found in the same article for the following wikis: dewiki
Winger_(sports)	Garrincha_and_Vavà_1958_World_Cup_final.jpg	image was found in the same article for the following wikis: swwiki
Rowing_at_the_2012_Summer_Olympics_–_Men's_eight	Rowing_at_the_2012_Summer_Olympics_9190.jpg	image was found in the same article for the following wikis: dewiki
Brigitte_Oertli	K01-m3-0003.tif	image was in the Wikidata item
Chaabi_(music)	Noureddine_Benghali.png	image was found in the same article for the following wikis: itwiki
Daniel_Boys	Daniel Boys – Stevenage Christmas Lights Switch-on 2010.jpg	image was in the Wikidata item
Afak	Dalmaj_marsh045.jpg	image was found in the Commons category linked in the Wikidata item
Adam_Pawlikowski	Adam_Pawlikowski_-_grób.jpg	image was found in the same article for the following wikis: plwiki
Divakar_Sharma	Department_of_Sanskrit,_University_of_Rajasthan.JPG	image was found in the same article for the following wikis: hiwiki
2018_in_the_European_Union	European_countries_by_minimum_hourly_gross_wage_in_2018_(in_PPP,_Purchasing_Power).png	image was found in the Commons category linked in the Wikidata item
Arizona_striped_whiptail	Cnemidophorus-ThreeSpecies.jpg	image was found in the same article for the following wikis: viwiki
Shakhtyorsk_Airport	Аэропорт Шахтёрска Сахалин.jpg	image was in the Wikidata item
Compsodes	Capucinus_cucullatus.png	image was found in the same article for the following wikis: ruwiki
Thonburi_University_Stadium	Thonburi_University_Stadium_2017.jpg	image was found in the same article for the following wikis: dewiki
Wim_Ebbinkhuijsen	Punch-card-cobol.jpg	image was found in the same article for the following wikis: nlwiki
Otrøvatnet	E16-Filefjell.JPG	image was found in the Commons category linked in the Wikidata item
Esculape	Esculape_1899.jpg	image was found in the same article for the following wikis: dewiki
La_Chapelotte	La Chapelotte Carte postale 10.jpg	image was in the Wikidata item
Suså_Municipality	GlumsøSusåRådhus.jpg	image was found in the same article for the following wikis: dawiki
French_Coptic_Orthodox_Church	CopticCross.jpg	image was found in the same article for the following wikis: itwiki
2019_Ladies_Open_Lausanne	Ferro_RG19_(10)_(48199369072).jpg	image was found in the same article for the following wikis: nlwiki
Lake_Smerdiacheje	Озеро Смердячье.jpg	image was in the Wikidata item
Annie_Taylor	Annie_Taylor.jpg	image was found in the same article for the following wikis: bclwiki
Acantholycosa_dudkorum	Missing_Arachnida.png	image was found in the same article for the following wikis: itwiki
Valentin_Držkovic	2020_Ostrava_Hornická_poliklinika_1.jpg	image was found in the Commons category linked in the Wikidata item
Ho_Bugt	HoBugt.jpg	image was found in the same article for the following wikis: nowiki,svwiki,dawiki
Alford_Forest	Position_of_Canterbury_Region.png	image was found in the same article for the following wikis: miwiki
International_Refugee_Organization	International_Refugee_Organization.png	image was found in the same article for the following wikis: mlwiki,be_x_oldwiki,jawiki,fawiki
Pariacoto_District	Location_of_the_province_Huaraz_in_Ancash.PNG	image was found in the same article for the following wikis: dewiki,aywiki,quwiki
Hansnes	TorghattenNords MF Salangen 01.JPG	image was in the Wikidata item
1992_Superbike_World_Championship	FIM_SBK_WM_Logo.jpg	image was found in the same article for the following wikis: dewiki
2000_in_Thailand	Bangkok_traffic_jam.jpg	image was found in the Commons category linked in the Wikidata item
Balgowan	GC_Goods_train_approaching_Balgowan_station_28_Oct_2012.jpg	image was found in the same article for the following wikis: nsowiki
Sextus_Lucilius_Bassus	First_century_Iudaea_province.gif	image was found in the same article for the following wikis: lawiki
Portland_Fire	RoseGardenArenaS.jpg	image was found in the same article for the following wikis: svwiki
Elmer_Food_Beat	ElmerLive.jpg	image was in the Wikidata item
Orpiszew	MOs810, WG 2014 17, OChK Jasne Pole (Orpiszew) (2).JPG	image was in the Wikidata item
European_Parliament_Committee_on_Foreign_Affairs	2016-12-06_David_McAllister_CDU_Parteitag_by_Olaf_Kosinsky-14.jpg	image was found in the same article for the following wikis: svwiki
Fourth_World	Chicago_ghetto.jpg	image was found in the same article for the following wikis: euwiki
Road_&_Track	RT0311 COVER.jpg	image was in the Wikidata item
Melek_Ahmed_Pasha	Ottoman official, Turkey, Istanbul, c. 1650, ink, watercolour, gold on paper - Aga Khan Museum - Toronto, Canada - DSC06822.jpg	image was in the Wikidata item
Val-de-Sos	Vicdessos ariège.JPG	image was in the Wikidata item
Nisanit	Sender-nisanit02.jpg	image was in the Wikidata item
Thompson_language	StenographieDuployé.png	image was found in the same article for the following wikis: cswiki
Tijuana_Zonkeys	FOTO-PERFIL-BLANCA.png	image was found in the same article for the following wikis: eswiki
Adh-Dhariyat	Adh-Dhariyat.svg	image was found in the Commons category linked in the Wikidata item
Eta_(disambiguation)	Cleaver_(PSF).jpg	image was found in the same article for the following wikis: nrmwiki
Cutenda	Angola_Provinces_numbered_300px.png	image was found in the same article for the following wikis: mswiki
Ruki_sound_law	Holger_Pedersen_1867-1953.png	image was found in the same article for the following wikis: ukwiki,ltwiki
Lebu_people	Dakar-Vieux_Lébou_(AOF).jpg	image was found in the Commons category linked in the Wikidata item
Tisens	Blick nach Tisens, Prissian, Jakobsweg zwischen Meran und Bozen, Trentino, Südtirol, Italien - panoramio.jpg	image was in the Wikidata item
Liederhandschrift	Codex_Manesse_127r.jpg	image was found in the same article for the following wikis: alswiki
Amdo_Tibetan	Tibet_provinces.png	image was found in the same article for the following wikis: huwiki
Anarchism_in_Sweden	Exterior,_the_SAC_building.jpg	image was found in the Commons category linked in the Wikidata item
Siege_of_Dijon	LouisIIdeLaTremoille.jpg	image was found in the same article for the following wikis: frwiki
1984_Wimbledon_Championships_–_Women's_Doubles	Martina_Navratilova.jpg	image was found in the same article for the following wikis: nlwiki
Altavilla_Irpina	Altavilla_Irpina.png	image was found in the Commons category linked in the Wikidata item
Vista_Alegre	Vistaalegre36.jpg	image was found in the same article for the following wikis: euwiki
Spaak_Committee	Bundesarchiv_Bild_183-39998-0427,_Paul-Henri_Spaak.jpg	image was found in the same article for the following wikis: cawiki,eswiki
Liberal_Party_(1922)	Johnlatham.jpg	image was found in the same article for the following wikis: simplewiki
Flores_(surname)	US_Army_51856_Working_on_blocking_and_bracing.jpg	image was found in the Commons category linked in the Wikidata item
Rafael_Chaparro_Madiedo	Rafael_Chaparro_Madiedo.jpg	image was found in the same article for the following wikis: eswiki
University_of_Occupational_and_Environmental_Health_Japan	UOEHJ_campus.JPG	image was found in the Commons category linked in the Wikidata item
Jet_set	The_Jet_Set_Lifestyle.jpg	image was found in the same article for the following wikis: huwiki
MFC_08_Lindenhof	MFC_08_Lindenhof.jpg	image was found in the same article for the following wikis: nlwiki
Josh_Boone_(director)	Writers 02 (8064274521) (cropped).jpg	image was in the Wikidata item
400_metres_world_record_progression	Wayde_van_Niekerk_080817_London_2017.jpg	image was found in the same article for the following wikis: frwiki
El_Guinardó	Mas Guinardó 06.JPG	image was in the Wikidata item
Chaetocoelopa	Chaetocoelopa_littoralis_1.jpg	image was found in the same article for the following wikis: ruwiki
1996_US_Open_–_Women's_Doubles	Gigi_Fernandez_&_Natasha_Zvereva_at_the_2010_US_Open_01.jpg	image was found in the same article for the following wikis: nlwiki
Quintus_Caecilius_Metellus_Creticus	Gens_Caecilia_Metella_family_tree.png	image was found in the same article for the following wikis: nlwiki,lawiki,eswiki
1843_in_sports	Grey_Eagle_by_Edward_Troye.jpg	image was found in the Commons category linked in the Wikidata item
Laurent_Lecointre	AduC 129 Lecointre de Versailles (L., 1750-1803).JPG	image was in the Wikidata item
Qasımqışlaq	Azerbaijan,_administrative_divisions.png	image was found in the same article for the following wikis: azwiki
Cyrix_coma_bug	IBM_6x86L_PR166_Front.jpg	image was found in the same article for the following wikis: svwiki
Aşağı_Atuc	Aşağı_Atuc,_Quba_(02.06.2013)_2.jpg	image was found in the Commons category linked in the Wikidata item
Wang_Xudong_(politician)	Wang_Xudong_Signature.png	image was found in the same article for the following wikis: zhwiki,frwiki,nowiki
Saint-Bard	012 St Bard ( 23260 ).JPG	image was in the Wikidata item
Giuseppe_Toaldo	Ritratto di Giuseppe Toaldo.gif	image was in the Wikidata item
John_I,_Count_of_Looz	Grafschaft_Hennegau_1250.PNG	image was found in the same article for the following wikis: ruwiki
Andrey_of_Staritsa	Facial Chronicle - b.20, p. 054.gif	image was in the Wikidata item
Lukou_District	淦田街上 - panoramio.jpg	image was in the Wikidata item
Anthropologist	Foto_JM_candidatura.jpg	image was found in the Commons category linked in the Wikidata item
Latonigena	Missing_Arachnida.png	image was found in the same article for the following wikis: itwiki
Berta_language	Berta_languages.png	image was found in the same article for the following wikis: etwiki,eswiki,hrwiki,frwiki,itwiki,astwiki,dewiki,barwiki,ukwiki
Violin_Sonata_No._23_(Mozart)	Martini_bologna_mozart_1777.jpg	image was found in the same article for the following wikis: frwiki
United_Nations_Security_Council_Resolution_2096	Afghan_parliament_in_2006.jpg	image was found in the same article for the following wikis: nlwiki,cawiki
Rinako_Hirasawa	Silhouette-personne.jpg	image was found in the same article for the following wikis: frwiki
Democracy_Way	Hambacherschloss.jpg	image was in the Wikidata item
